TranslatedRecipeName,TranslatedIngredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,TranslatedInstructions,URL
Kerala Style Raw Banana and Suran Kotu Curry Recipe Kerala Style Plantain Yam Thoran Recipe,12 cup raw banana chopped 12 cup suran chopped 12 cup black gram 12 teaspoon turmeric powder 12 teaspoon red chili powder salt as per taste 12 2 tsp cumin seeds 1 cup coconut grated 14 tsp whole black pepper 3 cloves garlic 1 green chili 1 tsp oil 12 tsp mustard,360,20,380,4,Kerala Recipes,Dinner,Vegetarian,To make Kerala Style Raw Banana and Suran Kotu Curry Recipe first peel the raw banana and suran and cut them into small pieces In a saucepan pour both of these with 14 tsp turmeric powder salt and water and let it soften Cook till Keep it aside Pour black gram in a cooker with water as per use and cook it for 30 minutes Allow the pressure to drain automatically and close the cooker In a mixer grinder add coconut cumin green chili black pepper a little water and grind them Keep it aside Keep it aside Now add suran raw banana coconut paste salt a little water in a pan and cook for 2 to 3 minutes Add coconut in a pan and cook till it turns brown Keep it aside Heat oil in a tempering pan Add the mustard seeds dry red chillies curry leaves and cook until the mustard seeds crackle Add this tadka and brown coconut curry and mix Turn off the gas after a minute and serve Serve Kerala Style Raw Banana and Suran Kotu Curry Recipe with Kerala Beetroot Pachadi for dinner,http://www.archanaskitchen.com/kerala-style-plantain-yam-kootu-curry-recipe-in-hindi
Sooji Halwa Breakfast Bowl Recipe,12 cup Sooji Semolina Rava14 cup Ghee12 teaspoon Cardamom Powder Elaichi12 cup Cane sugar1 tablespoon Cashew nutsBadam Almond a fewMixed fruits I used figs,10,10,20,3,Indian,Indian Breakfast,Vegetarian,To begin making Sooji Halwa Breakfast Bowl Recipe get all the ingredients readyHeat ghee in a saucepan or kadai Once hot add semolina sooji and roast it on low heat till you get a nutty aroma from the panNow add cardamom powder cashews and almonds Give it a mixAt this stage add water and cane sugar together and mix well I used about 114 cup of water for 12 cup semolina Add more water if required to maintain a nice halwa or thick porridge consistencySwitch off once you see that the halwa is nicely cooked and the ravasemolina has reached its optimal cooked sizeServe with a lot of fruits I have served the bowl with coconut slices banana fresh figs pomegranate and kiwiGarnish with slivered almonds and some cashews and you are good to goYou can as well serve this Sooji Halwa Breakfast Bowl Recipe for kids who prefer sweet breakfast to savoury may be along with a Turmeric Milk Recipe Haldi Doodh and Boiled Eggs Recipe,https://www.archanaskitchen.com/sooji-halwa-breakfast-bowl-recipe
Mixed Vegetable Sagu Recipe Karnataka Style Vegetable Kurma Recipe,1 Carrot Gajjar cubed1 Potato Aloo cubed12 cup Green beans French Beans chopped into inch size1 Knol Khol Ganth Gobikadam cubed14 cup Green peas Matar1 Onion chopped1 Tomato chopped14 teaspoon Turmeric powder Haldi4 teaspoon Sunflower Oil Ghee14 teaspoon Mustard seeds12 teaspoon White Urad Dal Split4 Curry leavesSalt to taste12 cup Fresh coconut1 inch Ginger chopped3 cloves Garlic1 teaspoon Coriander Dhania Seeds12 teaspoon Cumin seeds Jeera2 tablespoons Roasted Gram Dal Pottukadalai1 teaspoon Poppy seeds2 Green Chillies12 inch Cinnamon Stick Dalchini4 Cloves Laung1 Star anise1 Cardamom Elaichi PodsSeeds14 cup Coriander Dhania Leaves14 cup Mint Leaves Pudina,25,20,45,4,Karnataka,South Indian Breakfast,Vegetarian,To begin making the Karnataka Style Mixed Vegetable Sagu Recipe begin by chopping all the vegetables and keeping it readyPlace the cut vegetables into the pressure cooker except the green peas Add 14 cup of water and pressure cook for 3 to 4 whistles After 3 to 4 whistles turn off the heat and allow the pressure to release naturally Keep the cooked vegetables asideWe will now make the sagu masala Into the mixer grinder add the grated coconut roasted gram dal poppy seeds coriander seeds cumin seeds cinnamon stick cloves star anise cardamom pods javitri ginger garlic green chillies pudina leaves coriander leaves and 12 cup of warm waterBlend to make a smooth paste of the sagu masala ingredients Keep asideHeat oil in a pan over medium heat add the mustard seeds urad dal and allow the dal to turn golden brown Stir in the curry leaves and red chillies and saute for a few secondsStir in the onions Saut the onions till it is translucent Once that is done add the tomatoes and saute them till it is soft Once the tomatoes turn soft add te sagu masala and saute for a few minutes until the raw smell goes away Next add all the chopped vegetables and the steamed green peas Add a cup or two of water salt to taste and simmer the Mixed Vegetable Sagu for 5 to 6 minutes Once done turn off the heat and keep asideServe the Karnataka Style Mixed Vegetable Saagu along with Rava Idli or Mangalore Buns for breakfast along with a hot cup of South Indian Filter Coffee,http://www.archanaskitchen.com/karnataka-style-mixed-vegetable-saagu-recipe-spicy-vegetable-coconut-gravy-recipe
Coriander and Coconut Chutney Recipe Green Coriander And Coconut Chutney Recipe In Hindi,150 grams coconut grated 100 grams coriander fresh 1 green chili chopped 1 inch ginger chopped 12 teaspoon cumin seeds salt 1 tablespoon lemon juice according to taste,10,10,20,4,Indian,Side Dish,Vegetarian,To make coriander and coconut chutney first put coconut coriander green chillies ginger cumin and salt in a mixer grinder Grind well After grinding take it out in a bowl Now add lemon juice to it Mix and serve Serve coriander and coconut chutney with dosa or idli for breakfast or for an evening snack with pakoras and tea,http://www.archanaskitchen.com/green-coriander-and-coconut-chutney-recipe-in-hindi
Delicious Skillet Plum Cake Recipe,112 cups All Purpose Flour Maida34 cup Brown Sugar Demerara Sugar112 teaspoon Baking powder14 teaspoon Salt12 cup Butter23 cup Milk12 teaspoon Orange Zest Rind2 Whole Eggs12 teaspoon Almond essence Badam Essence6 Plums thinly sliced,10,35,45,5,Continental,Snack,Eggetarian,To begin making the Skillet Plum Cake Recipe we will first make the brown butter for the cake Heat the butter in a small skillet on mediumlow heat stirring continuously The butter will begin to froth and will start turning brown after about 34 minutes At this stage turn off the heat and set it aside To make the batter for the Skillet Plum Cake Recipe in a mixing bowl combine the milk eggs and almond essence and whisk them together and set aside In another mixing bowl combine the all purpose flour demerara sugar baking powder saltNow add the orange zest and rub it along with the flour using your fingers This will help the zest release its flavour into the flour Now pour in the eggmilk mixture into the dry ingredients bowl and whisk until you get a smooth batter Finally whisk in the brown butter into the fresh plum skillet cake batter Preheat the oven to 180 degree celsius Generously grease a 10 skillet with soft butter and pour the fresh plum skillet cake batter into it Arrange the sliced plums on the surface of the cake Place the Skillet Plum Cake in the oven for 3035 minutes or until a skewer inserted into the plum cake comes out clean Remove from the oven and allow the Skillet Plum Cake Recipe to cool Serve this warm Skillet Plum Cake Recipe as an evening snack along with Hot Coffee Latte Recipe You could also serve it as a dessert along with a scoop of vanilla ice cream and a generous topping of Caramel Sauce It makes a great dessert idea after a delicious weekend dinner,http://www.archanaskitchen.com/delicious-skillet-plum-cake-recipe
Eggless Chocolate Cupcakes With Raspberry Cheese Frosting,1 cup All Purpose Flour Maida12 cup Sugar1 cup Dark chocolate12 cup Cocoa Powder12 cup Salted butter34 cup Milk12 tablespoon Baking powder12 teaspoon Baking soda12 tablespoon Vanilla Extract1 cup Britannia Cream Cheese34 cup Caster Sugar1 teaspoon Vanilla Extract8 Fresh raspberries,20,20,40,4,Continental,Dessert,Vegetarian,To begin with the Eggless Chocolate Cupcakes With Raspberry And Cream Cheese Frosting Recipe first sieve flour cocoa powder baking powder baking soda and keep asideTake a bowl and whisk butter for 5 minutes make sure that it is light and fluffy Then add vegetable oil and sugar and whisk for another 3 minutesFurther add vanilla extract and milk half and whiskIn double boiling method melt the dark chocolate and Now add in rounds the dry ingredients and fold them nicely Keep adding rest milk as requiredPreheat the oven at 200 degree Celsius for 10 minPour the batter into the cup cake mould I used silicon mould and bake for 15 minutes at 150 degree CelsiusLet it cool properly before frosting else the frosting will meltFor the frostingWhisk the soft cream cheese till you get pointed peaksWhisk in low pace to get peaksAs you whisk add sugar and vanilla extract and mix wellGrind few raspberries and add in the cream cheese mixtureFill the icing in the piping bag with your favourite nozzle and do the icing on top of the cupcakeAfter icing it with cream cheese place a raspberry on it and serve it Serve the Eggless Chocolate Cupcakes With Raspberry And Cream Cheese Frosting Recipe for an Evening Snack or as a Dessert in a party,http://www.archanaskitchen.com/eggless-chocolate-cupcakes-with-raspberry-and-cream-cheese-frosting-recipe
Shandong Spicy Eggplant With Peppers And Potato Recipe Di San Xian Recipe,1 Brinjal Baingan Eggplant cut into 1 inch long inch wedges1 Potato Aloo peeled and cut into wedges1 Red Bell pepper Capsicum cut into wedges1 12 tablespoons Corn flour1 tablespoon Soy sauce2 tablespoons Vinegar12 teaspoon Black pepper powder3 cloves Garlic finely chopped2 inch Ginger finely chopped3 Spring Onion Bulb Greens finely chopped2 Dry Red ChilliesSesame Gingelly Oil for cookingSalt to taste,20,30,50,4,Chinese,Side Dish,Vegetarian,To begin making the Shandong Spicy Eggplant With Peppers And Potato Recipe Di San Xian Recipe first prep all the ingredients chop all the vegetables and keep the sauces handy by the sideIn a small mixing bowl combine the corn flour along with 1 cup of water and dissolve it well Stir in the soy sauce the vinegar and black pepper powder Keep it asideHeat oil in a wok over medium heat add the potato wedgessprinkle salt and stir fry them with the pan partially covered until it is cooked through Once the potatoes are cooked remove from the wok and keep asideIn the same pan add a little more oil Add the eggplant wedges sprinkle salt partially cover the pan and allow the eggplants to get pan roasted until soft and cooked through completely Once done remove from the pan and keep asideIn the same pan again heat a little oil Add the ginger garlic dry red chilies bell peppers and spring onions and saute until you can get the aromas coming through Saute until the bell peppers become slightly tenderAdd the corn flour mixture into this and keep stirring until it thickens a bit Add the roasted eggplant and potatoes and stir fry on high heat until the eggplant and potatoes are well coated with the sauces about 5 minutesCheck the salt and spices and adjust to suit your taste Once one turn off the heat and serveServe the Shandong Spicy Eggplant with Pepper Potato Recipe along with Dan Dan Noddles for a delicious Chinese dinner,https://www.archanaskitchen.com/shandong-spicy-eggplant-with-peppers-and-potato-recipe-di-san-xian-recipe
Lauki Badi Ki Sabzi Recipe In Hindi,12 gourd peel and chop 12 cup wood oil 4 curry leaves 12 teaspoon cumin seeds 12 teaspoon mustard asafoetida a pinch 1 green chili finely chopped 1 inch ginger grated 3 cloves garlic grated 1 teaspoon red chilli powder 12 teaspoon turmeric powder 12 teaspoon coriander powder 12 teaspoon garam masala powder,10,20,30,3,Rajasthani,Main Course,Vegetarian,To make gourd elder greens first roast the elder gourd in a frying pan Keep in mind that big burns do not happen After it is roasted keep it to cool down Heat oil in a pan add cumin seeds mustard seeds and asafoetida After 20 seconds add green chili and ginger kahasun After 1 minute add gourd and cook till it becomes soft After it gets soft add big roasted and mix it Now add red chili powder turmeric powder coriander powder garam masala powder and salt After 10 seconds add milk to it and cook on low heat for 20 seconds Garnish with green coriander and serve hot Serve gourd elder vegetables with panchamel dal and tawa paratha for dinner,https://www.archanaskitchen.com/lauki-badi-ki-sabzi-recipe-in-hindi
Aloo Amritsari Recipe In Hindi,4 Potatoes cut into wedges 1 teaspoon celery 2 onions cut directly 2 inches ginger cas 2 long garlic 2 tomatoes finely chopped 12 teaspoon turmeric powder 12 small Spoon garam masala powder 1 teaspoon coriander powder 12 teaspoon Kashmiri red chilli powder 4 sprig coriander finely chopped salt as per taste oil as per use,15,30,45,4,Punjabi,Lunch,Vegetarian,To make Aloo Amritsari first heat the oil in a pressure cooker After heating add celery and cook for 10 seconds Add onion green chillies ginger and garlic after 10 seconds Cook onion until it becomes soft After the onion softens add tomatoes and cook until it becomes soft After softening add potatoes After adding add 12 cup of water salt mix and close the cooker Cook until 2 cities come and then turn off the gas Opening the pressure automatically open and add green coriander to it Mix and serve hot Serve Aloo Amritsari with Dal Tadka Bundi Raita and Phulka for dinner,https://www.archanaskitchen.com/aloo-amritsari-recipe-in-hindi
Assamese Style Ghila Pitha Recipe Sweetened Rice Fritters Recipe,2 cups Rice soaked in water2 tablespoons Cooked rice to help bind12 cup Jaggery1 teaspoon Cardamom Powder Elaichi1 teaspoon Lemon zest12 teaspoon Baking powderSunflower Oil for cooking,10,30,40,4,Assamese,Snack,Vegetarian,To begin making Assamese Style Ghila Pitha Recipe soak the rice in water for 2 to 3 hours Once soaked drain the water completely and pat dryGrind the rice into a flour like mixture it will be a little coarseMelt the jaggery in 14 cup of water and keep asideIn a large mixing bowl combine the ground rice flour along with the cooked rice jaggery water baking powder cardamom powder lemon zest and baking powderForm a dough like consistency to make Ghila Pitha The dough should not be too hard not too soft just enough to hold and put in a kuzhi paniyaram panHeat a Kuzhi Paniyaram pan and add a few drops of oil into each one of the cavities Grease your palms with oil and form small oval balls Flatten the Ghila Pitha a little and place them in the kuzhi paniyaram pan Fry on both sides initially on medium flame until cooked through and also golden brown from all sidesOnce done remove the Ghila Pitha from the pan and proceed the same way with the remaining batterServe the Ghila Pitha as a tea time snack or as a dessert after a good lunch,http://www.archanaskitchen.com/assamese-style-ghila-pitha-recipe-rice-flour-fritters-recipe
Tofu Pulao Recipe,1 cup rice 2 tablespoons ghee 1 teaspoon cumin seeds 1 bay leaf 1 lentil sugar 3 long 2 green chillies chopped 1 tablespoon ginger garlic paste 2 onions chopped 2 tomatoes chopped Take 12 capsicum green red or yellow 12 teaspoon red chilli powder 12 teaspoon turmeric powder 1 teaspoon coriander powder 12 teaspoon garam masala powder 1 cup tofu cut salt according to taste coriander to garnish,20,45,65,4,Indian,Dinner,Vegetarian,To make Tofu Casserole first wash and soak the rice for 12 hour Drain and keep aside Heat the ghee in a saucepan After it gets hot add cumin seeds and let it splutter Add onion green chilli ginger garlic paste and let it cook till the onion turns brown After that add tomatoes and capsicum to it and mix Add red chili powder turmeric powder coriander powder garam masala powder and let it cook for 5 to 7 minutes After 7 minutes add salt to it with tofu and let it cook until the tofu turns light brown Add rice and 2 cups of water and mix Cover the pan and cook until the rice is cooked Turn off the gas after cooking Open after 5 minutes and garnish with green coriander Serve Tofu Casserole with Spinach Raita Kachumbar Salad and Papad for day or dinner,https://www.archanaskitchen.com/tofu-pulao-recipe-in-hindi
Kashmiri Monj Haakh Recipe Knol Khol Flavored With Asafoetida,12 kg Knol Khol Ganth Gobikadam2 Stalks Knol khol Leaves Ganth Gobi leaves2 pinch Asafoetida hing2 Dry Red Chillies1 pinch Baking soda1 teaspoon Kashmiri masala powder23 tablespoon Mustard oilSalt to taste,20,30,50,6,Kashmiri,Lunch,Vegetarian,To prepare Kashmiri Monj Haakh Recipe wash and peel the Ganth Gobhi knol khol bulb and cut into fine slicesChop the green leafs into two halves Wash nicely to remove dirt and collect in a colander and keep asideIn a broad base Pan heat oil and add asafoetidaNow add the chopped Knol Khol and the Knol Khol leaves along with dry red chilies and saltSaute for a while and now add the Kashmiri spice mixgaram masala and stirAdd water and baking soda Stir and close the lidLet the vegetable cook in low flame till soft and tender Dont overcook the greens try to retain the green colorTurn off the gas and serve Kashmiri Monj Haakh Recipe hot with plain steamed rice and Kashmiri Chaman Qaliya or Kashmiri Rogan Josh for lunch,https://www.archanaskitchen.com/kashmiri-munj-haakh-recipe-knol-khol-flavored-with-asafoetida
